# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1071.59,0.850415,0.0513841,5,59,0,1074.07,0.901924,5.88782,2.57798,3.15772,0.660817,0.339183
-1072.06,0.960731,0.0513841,5,39,0,1074.32,1.01168,7.0083,2.56192,2.66366,0.749535,0.250465
-1073.15,0.978088,0.0513841,4,31,0,1074.06,0.924874,6.83225,2.36565,2.23607,0.693093,0.306907
-1074.18,0.996253,0.0513841,4,23,0,1075.35,1.56704,5.88706,3.00647,3.09559,0.776908,0.223092
-1071.19,0.977548,0.0513841,5,63,0,1075.03,0.123519,4.90729,2.2889,3.10719,0.512968,0.487032
-1072.45,0.882462,0.0513841,2,7,0,1072.94,0.0907753,4.91731,2.14579,3.30751,0.49266,0.50734
-1072.05,0.876544,0.0513841,4,23,0,1076.89,0.67268,4.90688,2.27478,3.36176,0.552954,0.447046
-1072.19,0.938389,0.0513841,3,15,0,1074.87,0.102681,4.91331,2.07991,2.97457,0.515406,0.484594
-1071.02,0.913169,0.0513841,6,95,0,1074.87,1.07976,6.3779,2.57713,2.63392,0.737171,0.262829
-1075.27,0.759701,0.0513841,5,39,0,1078.76,1.81981,7.88744,2.97807,2.82339,0.852428,0.147572
-1076.62,0.829019,0.0513841,4,15,0,1078.13,1.93093,7.89646,3.20503,2.9058,0.871965,0.128035
-1076.34,0.967244,0.0513841,4,31,0,1080.13,1.72906,7.10464,3.13721,1.97509,0.868807,0.131193
-1074.77,0.708098,0.0513841,5,47,0,1079.39,1.48178,7.06041,2.71558,3.14675,0.791066,0.208934
-1075.34,0.815039,0.0513841,3,7,0,1078.92,1.71806,6.99342,3.06159,2.24842,0.796755,0.203245
-1074.6,0.995674,0.0513841,4,23,0,1076.9,1.28385,7.39534,2.9462,1.88187,0.838386,0.161614
-1072.74,0.994708,0.0513841,3,11,0,1075.89,1.22751,7.48437,2.56006,1.97674,0.816653,0.183347
-1071.24,0.98993,0.0513841,5,47,0,1074.4,0.767671,6.22851,2.57692,2.69692,0.706959,0.293041
-1071.65,0.916332,0.0513841,3,15,0,1072.31,0.922336,6.12527,2.66763,2.58262,0.673435,0.326565
-1072.21,0.909025,0.0513841,4,27,0,1076.45,0.506907,5.82522,2.50784,2.55143,0.617333,0.382667
-1072.47,0.921657,0.0513841,5,55,0,1075.25,0.78579,4.9373,2.41723,2.92286,0.578234,0.421766
-1071.67,0.805349,0.0513841,3,15,0,1077.86,0.58505,5.37893,2.55471,3.27566,0.604673,0.395327
-1072.35,0.936988,0.0513841,5,63,0,1074.31,0.866018,6.15039,2.61046,2.43126,0.662007,0.337993
-1074.68,0.991177,0.0513841,4,31,0,1077.81,1.6739,7.15755,3.12073,2.15436,0.851626,0.148374
-1073.59,0.971224,0.0513841,4,31,0,1076.61,1.65584,7.09179,2.87154,2.18789,0.843198,0.156802
-1074.33,0.885823,0.0513841,4,15,0,1076.26,1.54822,6.9718,3.05465,2.84971,0.842644,0.157356
-1073.79,0.904163,0.0513841,4,19,0,1076.28,1.33855,7.42555,2.56133,1.85403,0.772725,0.227275
-1072.34,0.830093,0.0513841,2,3,0,1075.1,1.26474,7.4041,2.81617,2.21328,0.773938,0.226062
-1071.63,0.98008,0.0513841,4,31,0,1073.3,1.16842,6.78519,2.56501,2.47543,0.779506,0.220494
-1070.7,0.836048,0.0513841,5,47,0,1074.19,0.681968,5.94135,2.40875,2.77042,0.645186,0.354814
-1071.34,0.967393,0.0513841,4,15,0,1072.08,0.515104,5.86814,2.31871,2.58871,0.624098,0.375902
-1072.32,0.916731,0.0513841,6,95,0,1074.4,0.706249,4.24253,2.36641,3.47588,0.423268,0.576732
-1071.42,0.989102,0.0513841,3,7,0,1072.93,0.667092,4.20279,2.37129,3.51897,0.466706,0.533294
-1072.16,0.959805,0.0513841,5,47,0,1072.83,-0.146018,3.4387,1.82998,3.62799,0.262356,0.737644
-1075.3,0.867275,0.0513841,3,7,0,1075.86,-0.170165,3.17343,2.56667,3.62099,0.271968,0.728032
-1074.37,0.984871,0.0513841,4,15,0,1078.21,-0.244452,3.10019,1.21521,3.76143,0.179038,0.820962
-1074.42,0.9686,0.0513841,5,31,0,1075.94,-0.580059,3.06558,1.78546,3.34638,0.180119,0.819881
-1074.18,1,0.0513841,4,15,0,1074.85,-0.782946,3.17339,1.78659,3.51149,0.178385,0.821615
-1075.54,0.946716,0.0513841,4,15,0,1078.81,-0.745822,3.43743,1.98037,3.39152,0.166904,0.833096
-1074.43,0.997443,0.0513841,4,31,0,1076.95,0.0439993,2.90681,1.26182,3.67342,0.207504,0.792496
-1073.98,0.978215,0.0513841,5,31,0,1076.17,-0.042152,3.71685,2.65522,3.41543,0.337572,0.662428
-1074.59,0.990197,0.0513841,4,23,0,1077.15,0.739616,3.91507,1.93108,3.97925,0.385937,0.614063
-1072.44,0.962779,0.0513841,3,7,0,1075.52,0.647098,3.92414,2.42047,3.33253,0.416213,0.583787
-1074.31,0.971459,0.0513841,3,7,0,1075.89,0.948117,4.00927,2.46634,3.72678,0.368716,0.631284
-1072.73,0.976431,0.0513841,6,79,0,1077.12,0.354898,4.70779,2.1639,3.33663,0.544815,0.455185
-1072.24,0.881319,0.0513841,3,15,0,1075.97,0.200709,4.774,2.53365,3.08622,0.478091,0.521909
-1074.8,0.98289,0.0513841,5,31,0,1078.12,1.10464,3.3403,2.90178,3.56211,0.428918,0.571082
-1073.41,0.967791,0.0513841,5,31,0,1077.14,0.11336,3.10808,1.44531,3.70206,0.244391,0.755609
-1075.52,0.523827,0.0513841,4,19,0,1078.41,-0.18509,3.59415,2.11481,3.86328,0.23562,0.76438
-1073.56,0.985777,0.0513841,6,63,0,1076.36,0.419093,4.20815,2.74612,3.53763,0.419414,0.580586
