# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1075.56,0.926492,0.0490109,2,3,0,1079.85,1.22556,6.8712,2.31095,2.60404,0.726097,0.273903
-1078.11,0.998287,0.0490109,4,31,0,1079.27,1.2077,6.3161,2.46535,2.6192,0.813628,0.186372
-1076.5,1,0.0490109,3,7,0,1078.76,1.18513,6.27191,2.58155,2.4958,0.812092,0.187908
-1073.2,0.959663,0.0490109,5,63,0,1079.78,0.352972,4.47858,2.05645,3.54212,0.412009,0.587991
-1073.76,0.98935,0.0490109,3,7,0,1074.09,0.382162,4.50321,2.01729,3.44232,0.411406,0.588594
-1073.13,0.982738,0.0490109,3,15,0,1075.53,0.0268986,4.47807,2.53844,3.15659,0.419487,0.580513
-1073.51,0.962469,0.0490109,3,7,0,1074.67,0.140039,4.43835,1.93727,3.44888,0.441575,0.558425
-1072.25,0.97503,0.0490109,5,63,0,1075.49,0.241495,3.65686,2.06852,3.76808,0.305451,0.694549
-1071.9,0.997419,0.0490109,5,47,0,1073.25,-0.0143408,3.993,2.13522,3.22819,0.350522,0.649478
-1072.46,0.989061,0.0490109,3,15,0,1073.04,-0.0481664,3.94663,1.99897,3.34623,0.310256,0.689744
-1072.96,0.852749,0.0490109,3,7,0,1074.19,0.00707378,3.97946,2.07242,3.31184,0.305018,0.694982
-1074.08,0.967644,0.0490109,3,15,0,1074.68,0.0808313,4.08883,2.12018,3.64664,0.300202,0.699798
-1075.52,0.53422,0.0490109,2,3,0,1077.61,0.078249,4.06665,2.10617,3.17243,0.294947,0.705053
-1076.16,0.986553,0.0490109,5,63,0,1079.84,-0.80281,3.34069,1.74737,3.62497,0.141989,0.858011
-1076.89,0.999687,0.0490109,3,15,0,1078.23,-0.953839,2.79116,1.91021,3.51092,0.173013,0.826987
-1076.72,0.922849,0.0490109,5,31,0,1078.34,-0.229057,3.0308,0.903606,3.56139,0.100299,0.899701
-1072.71,0.9963,0.0490109,5,63,0,1078.31,0.454462,3.68784,1.87131,3.73139,0.35694,0.64306
-1072.11,0.981817,0.0490109,4,31,0,1074.56,0.404932,3.32311,2.11225,3.57539,0.279536,0.720464
-1074.8,0.98504,0.0490109,5,31,0,1076.32,-0.611063,2.94673,1.12352,3.51035,0.160712,0.839288
-1074.02,0.990265,0.0490109,2,7,0,1076.51,-0.550212,3.02192,1.42984,3.56053,0.137598,0.862402
-1073.86,0.989836,0.0490109,5,39,0,1075.86,0.475721,2.8116,1.6424,3.73517,0.225779,0.774221
-1074.5,0.997852,0.0490109,4,15,0,1075.7,0.878923,2.82238,1.97454,3.68669,0.189744,0.810256
-1072.16,0.98322,0.0490109,4,31,0,1077.47,-0.236173,3.57919,2.08407,3.47285,0.325903,0.674097
-1073.78,0.903521,0.0490109,3,7,0,1074.54,-0.189902,3.6679,2.54709,3.35891,0.316558,0.683442
-1074.37,0.979191,0.0490109,3,7,0,1075.64,-0.132841,3.6543,1.80095,3.40979,0.376792,0.623208
-1073.59,0.999486,0.0490109,5,47,0,1076.31,-0.0662377,3.55,1.60202,3.57714,0.214536,0.785464
-1073.88,0.996129,0.0490109,4,31,0,1076.06,0.828152,3.23824,2.30306,3.83817,0.41459,0.58541
-1073.78,0.998099,0.0490109,5,47,0,1074.61,1.07788,3.82991,2.60482,3.65811,0.389313,0.610687
-1073.36,0.869546,0.0490109,4,15,0,1075.93,0.65523,3.92426,2.18213,3.56207,0.487,0.513
-1072.25,0.817487,0.0490109,3,7,0,1079.34,0.720059,3.94632,2.3976,3.77926,0.403421,0.596579
-1072.56,0.998291,0.0490109,5,31,0,1073.14,0.903556,3.87991,2.55632,3.84154,0.461756,0.538244
-1074.94,0.994269,0.0490109,5,31,0,1075.39,-0.325797,5.05284,2.20963,3.04607,0.456904,0.543096
-1074.87,0.986333,0.0490109,2,3,0,1075.34,-0.318064,5.04307,2.24168,2.91087,0.458175,0.541825
-1074.13,0.9751,0.0490109,3,7,0,1077.14,-0.191811,4.8299,2.05661,2.89944,0.516007,0.483993
-1074.48,0.929438,0.0490109,5,31,0,1077.83,-0.104291,4.87416,2.38305,3.13254,0.416663,0.583337
-1073.28,0.997387,0.0490109,5,63,0,1076.98,-0.144598,4.54334,1.97853,3.17476,0.384318,0.615682
-1072.97,0.813216,0.0490109,5,31,0,1080.55,1.06809,5.09783,2.67308,3.58617,0.586349,0.413651
-1071.93,0.828264,0.0490109,5,63,0,1076.39,0.251875,4.11409,2.05353,3.57388,0.381127,0.618873
-1072.99,0.947543,0.0490109,4,29,0,1074.59,0.014822,3.5338,2.1024,3.65684,0.373182,0.626818
-1072.21,0.752426,0.0490109,3,11,0,1076.14,0.17138,3.77255,2.04196,3.62707,0.295842,0.704158
-1072.02,0.985107,0.0490109,3,15,0,1073.27,-0.129033,3.67841,2.23436,3.53922,0.321266,0.678734
-1071.72,0.99357,0.0490109,4,23,0,1072.72,0.419058,3.64806,2.08817,3.53755,0.345001,0.654999
-1073.79,0.982021,0.0490109,4,23,0,1074.66,1.08129,3.44118,2.52905,3.966,0.456027,0.543973
-1074.93,0.979588,0.0490109,3,15,0,1076.23,1.43398,3.46194,2.89489,3.67152,0.410551,0.589449
-1072.89,0.99799,0.0490109,5,31,0,1076.11,1.03717,3.88233,2.72879,3.58243,0.489448,0.510552
-1073.59,0.966332,0.0490109,5,55,0,1076.1,-0.45027,3.25131,1.85496,3.50934,0.275494,0.724506
-1074.73,0.978247,0.0490109,4,15,0,1076.3,-0.140579,4.03679,1.79884,3.48888,0.2729,0.7271
-1074.39,0.998469,0.0490109,3,7,0,1075.38,-0.131664,4.03142,1.77453,3.45902,0.284578,0.715422
-1073.8,0.59964,0.0490109,4,31,0,1078.65,0.295117,4.09796,2.1291,3.79416,0.467129,0.532871
-1073.58,0.95835,0.0490109,4,23,0,1077.04,0.518494,4.09326,2.10815,3.25521,0.453238,0.546762
-1072.63,0.997854,0.0490109,3,11,0,1074.67,0.584454,4.24693,2.52793,3.37659,0.407762,0.592238
-1073.02,0.955078,0.0490109,4,31,0,1076.82,1.04003,3.89768,2.40471,3.67694,0.425463,0.574537
-1073.77,0.899978,0.0490109,5,47,0,1076.12,-0.0825167,3.38433,1.79208,3.37937,0.206697,0.793303
-1074.77,0.834848,0.0490109,4,31,0,1078.41,0.236534,2.99526,1.2476,3.53366,0.193102,0.806898
-1075.08,0.710763,0.0490109,3,15,0,1078.66,-0.0367986,2.88238,2.10561,3.38633,0.209489,0.790511
-1074.37,0.622998,0.0490109,3,11,0,1079.49,0.0410449,3.24091,1.45091,3.5247,0.155687,0.844313
-1073.46,0.900522,0.0490109,6,63,0,1076.3,0.854215,3.69294,2.02593,3.69083,0.375243,0.624757
-1073.34,0.986316,0.0490109,4,15,0,1073.96,0.861557,3.63093,2.12102,3.98427,0.379243,0.620757
-1073.17,0.918259,0.0490109,6,63,0,1075.77,-0.396261,3.43287,1.91686,3.65519,0.236575,0.763425
-1073.99,0.657682,0.0490109,2,7,0,1077.25,-0.519411,3.42132,2.31645,3.41464,0.245538,0.754462
-1077.46,0.918174,0.0490109,5,31,0,1078.64,0.294324,2.76979,2.26982,3.44617,0.102135,0.897865
-1074.56,0.940353,0.0490109,4,15,0,1078.03,0.0050811,2.87887,1.63679,3.72969,0.129185,0.870815
-1078.14,0.639517,0.0490109,5,31,0,1079.57,0.304933,2.9441,1.20134,3.33553,0.179726,0.820274
-1076.73,0.988119,0.0490109,2,7,0,1079.06,0.313837,2.94888,1.50352,4.06632,0.164399,0.835601
-1072.5,0.993976,0.0490109,6,95,0,1077.59,1.61505,7.81784,2.85489,2.02065,0.865755,0.134245
-1072.76,0.702464,0.0490109,2,3,0,1074.64,1.62968,7.8032,3.00618,1.97386,0.853789,0.146211
-1072.68,0.84265,0.0490109,2,3,0,1074.68,1.71941,7.79479,2.83512,1.9157,0.844476,0.155524
-1076.34,0.50245,0.0490109,3,11,0,1078.53,1.67043,7.72921,3.2896,1.94122,0.860685,0.139315
-1074.16,0.93681,0.0490109,5,47,0,1078.32,1.14538,7.48279,2.8303,2.09376,0.758981,0.241019
-1075.22,0.983655,0.0490109,4,19,0,1076.25,1.70716,7.48777,2.6842,2.2162,0.865824,0.134176
-1077.38,0.977935,0.0490109,4,15,0,1081.23,1.66019,7.70008,2.90891,3.25793,0.807139,0.192861
-1076.47,0.930617,0.0490109,3,7,0,1078.97,1.57809,7.58483,2.88512,3.26303,0.817968,0.182032
